Caseno/ Bail Ref no,BailStatus,HORef,StatusOfBail,DecisionDate,Final Bail Outcome,Destruction Date(if any),Last Comment,,,,,,,,,"SELECT t.caseno, t.amount, ac.Bailtype,Year(ac.DateReceived) as BailYear, max(s.CaseStatus) as BailStatus,max(s.CaseStatus)MAXID, max(h.comment) as Comment"
GL/00217,,,,,,May-22,,,,,,,,,,  FROM [ARIAREPORTS].[dbo].[Transaction] t
GL/00081,,,,,,May-22,,,,,,,,,,  inner join dbo.AppealCase ac
GW/00255,,,,,,May-22,,,,,,,,,,  on t.caseno = ac.caseno
GW/00419,,,,,,May-22,,,,,,,,,,"  INNER JOIN (SELECT MAX(HistoryId)HistID, CaseNo, Comment"
GL/00240,,,,,,May-22,,,,,,,,,,"  FROM dbo.History GROUP BY CaseNo, Comment ) h"
GW/00241,,,,,,Jun-22,,,,,,,,,,  ON t.caseno = h.caseno
GW/00464,,,,,,Jun-22,,,,,,,,,,  inner join dbo.History hh
GP/00416,,,,,,Jun-22,,,,,,,,,,  on h.caseno = hh.caseno and h.HistID = hh.HistoryId
GW/00531,,,,,,Jul-22,,,,,,,,,,"  inner join ( select max(StatusId)MAXST, CaseNo, CaseStatus from dbo.Status group by "
GW/00513,,,,,,Jul-22,,,,,,,,,,"  CaseNo, CaseStatus ) s"
GW/00145,,,,,,Jul-22,,,,,,,,,,  on t.CaseNo = s.caseno
GW/00288,,,,,,Jul-22,,,,,,,,,,  inner join dbo.Status ss
GW/00211,,,,,,Jul-22,,,,,,,,,,  on s.caseno = ss.caseno and s.MAXST = ss.StatusId
GW/00207,,,,,,Jul-22,,,,,,,,,,  where ac.casetype ='2'  and ac.Bailtype = '2' and Year(ac.DateReceived) < '2015'
GW/00379,,,,,,Jul-22,,,,,,,,,, 
GW/00291,,,,,,Aug-22,,,,,,,,,,"  group by t.caseno, t.amount, ac.Bailtype, Year(ac.DateReceived)"
GL/00193,,,,,,Aug-22,,,,,,,,,,
GW/00215,,,,,,Aug-22,,,,,,,,,,
GW/00374,,,,,,Aug-22,,,,,,,,,,
GW/00330,,,,,,Aug-22,,,,,,,,,,
GL/00129,,,,,,Aug-22,,,,,,,,,,
HC/02492,,,,,,Aug-22,,,,,,,,,,
GW/00250,,,,,,Aug-22,,,,,,,,,,
GW00294,,,,,,Aug-22,,,,,,,,,,
GW/00333,,,,,,Aug-22,,,,,,,,,,
GW/00277,,,,,,Aug-22,,,,,,,,,,
GW/00401,,,,,,Aug-22,,,,,,,,,,
HC/02493,,,,,,Sep-22,,,,,,,,,,
GW/00331,,,,,,Sep-22,,,,,,,,,,
GW/00467,,,,,,Sep-22,,,,,,,,,,
GW/00176,,,,,,Sep-22,,,,,,,,,,
GW/00230,,,,,,Sep-22,,,,,,,,,,
GW/00299,,,,,,Sep-22,,,,,,,,,,
GW/00593,,,,,,Sep-22,,,,,,,,,,
GW/00495,,,,,,Sep-22,,,,,,,,,,
GW/00562,,,,,,Sep-22,,,,,,,,,,
GW/00279,,,,,,Sep-22,,,,,,,,,,
GW/07439,,,,,,Sep-22,,,,,,,,,,
GW/00424,,,,,,Oct-22,,,,,,,,,,
GW/00418,,,,,,Oct-22,,,,,,,,,,
GW/00599,,,,,,Oct-22,,,,,,,,,,
GW/00589,,,,,,Oct-22,,,,,,,,,,
GL/00091,,,,,,Oct-22,,,,,,,,,,
GW/00573,,,,,,Oct-22,,,,,,,,,,
GW/00574,,,,,,Oct-22,,,,,,,,,,
GW/00417,,,,,,Oct-22,,,,,,,,,,
GW/00364,,,,,,Oct-22,,,,,,,,,,
GW/00373,,,,,,Oct-22,,,,,,,,,,
GW/00365,,,,,,Oct-22,,,,,,,,,,
GLA/IU/61/97,,,,,,Oct-22,,,,,,,,,,
GL/00255,,,,,,Oct-22,,,,,,,,,,
GW/00598,,,,,,Oct-22,,,,,,,,,,
GW/00544,,,,,,Oct-22,,,,,,,,,,
GP/00413,,,,,,Oct-22,,,,,,,,,,
GW/00353,,,,,,Nov-22,,,,,,,,,,
GW/00504,,,,,,Nov-22,,,,,,,,,,
GW/00225,,,,,,Nov-22,,,,,,,,,,
GL/00192,,,,,,Nov-22,,,,,,,,,,
GW/07281,,,,,,Nov-22,,,,,,,,,,
GL/00198,,,,,,Dec-22,,,,,,,,,,
GW/00397,,,,,,Dec-22,,,,,,,,,,
GW/00483,,,,,,Dec-22,,,,,,,,,,
GW/00381,,,,,,Dec-22,,,,,,,,,,
GW/00355,,,,,,Dec-22,,,,,,,,,,
GW/00480,,,,,,Dec-22,,,,,,,,,,
GW/00612,,,,,,Jan-23,,,,,,,,,,
GW/00655,,,,,,Jan-23,,,,,,,,,,
GL/00037,,,,,,Jan-23,,,,,,,,,,
GW/00602,,,,,,Jan-23,,,,,,,,,,
GW/00501,,,,,,Jan-23,,,,,,,,,,
GW/00344,,,,,,Jan-23,,,,,,,,,,
GW/00597,,,,,,Jan-23,,,,,,,,,,
GW/00745,,,,,,Jan-23,,,,,,,,,,
GW/00224,,,,,,Jan-23,,,,,,,,,,
HC/02810,,,,,,Jan-23,,,,,,,,,,
GW/00434,,,,,,Feb-23,,,,,,,,,,
GL/00205,,,,,,Feb-23,,,,,,,,,,
GW/00164,,,,,,Feb-23,,,,,,,,,,
GW/00363,,,,,,Feb-23,,,,,,,,,,
GW/00317,,,,,,Feb-23,,,,,,,,,,
GW/00354,,,,,,Feb-23,,,,,,,,,,
GW/00695,,,,,,Feb-23,,,,,,,,,,
GW/00693,,,,,,Feb-23,,,,,,,,,,
GW/00404,,,,,,Feb-23,,,,,,,,,,
GW/00261,,,,,,Feb-23,,,,,,,,,,
GW/00351,,,,,,Feb-23,,,,,,,,,,
GL/00082,,,,,,Feb-23,,,,,,,,,,
GW/00741,,,,,,Feb-23,,,,,,,,,,
GW/00494,,,,,,Feb-23,,,,,,,,,,
