ListedCentre,locationCode,locationLabel,listCaseHearingCentre,listCaseHearingCentreAddress
Alloa Sheriff Court,999971,Alloa Sheriff Court,alloaSherrif,"Alloa Sheriff Court, 47 Drysdale Street, Alloa, FK10 1JA"
Belfast - Laganside,999973,Belfast Laganside Court,belfast,"Belfast Laganside Court, 45 Donegall Quay, BT1 3LL"
Birmingham IAC (Priory Courts),231596,Birmingham Civil And Family Justice Centre,birmingham,"Birmingham Civil And Family Justice Centre, Priory Courts, 33 Bull Street, B4 6DS"
Birmingham IAC Sheldon Court,231596,Birmingham Civil And Family Justice Centre,birmingham,"Birmingham Civil And Family Justice Centre, Priory Courts, 33 Bull Street, B4 6DS"
Bradford,698118,Bradford Tribunal Hearing Centre,bradford,"Bradford Tribunal Hearing Centre, Rushton Avenue, BD3 7BH"
Bradford Crown Court ,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
Bradford Magistrates Court,580554,Bradford and Keighley Magistrates Court and Family Court,bradfordKeighley,"Bradford and Keighley Magistrates Court and Family Court, The Tyrls, PO Box 187, BD1 1JL"
Coventry Magistrates' Court IAC,787030,Coventry Magistrates Court,coventry,"Coventry Magistrates Court, Little Park Street, CV1 2SQ"
Field House (TH),tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
Glasgow (Eagle Building),366559,Atlantic Quay - Glasgow,glasgowTribunalsCentre,"Atlantic Quay - Glasgow, 20 York Street, Glasgow, G2  8GT"
Glasgow (Tribunals Centre),366559,Atlantic Quay - Glasgow,glasgowTribunalsCentre,"Atlantic Quay - Glasgow, 20 York Street, Glasgow, G2  8GT"
Harmondsworth,28837,Harmondsworth Tribunal Hearing Centre,harmondsworth,"Harmondsworth Tribunal Hearing Centre, Colnbrook Bypass, UB7 0HB"
Harmondsworth (HX),28837,Harmondsworth Tribunal Hearing Centre,harmondsworth,"Harmondsworth Tribunal Hearing Centre, Colnbrook Bypass, UB7 0HB"
Hatton Cross,386417,Hatton Cross Tribunal Hearing Centre,hattonCross,"Hatton Cross Tribunal Hearing Centre, York House And Wellington House, 2-3 Dukes Green, Feltham, Middlesex, TW14 0LS"
Hendon Magistrates Court (HX),745389,Hendon Magistrates Court,hendon,"Hendon Magistrates Court, The Court House, The Hyde, NW9 7BY"
Hendon Magistrates Court (TH),745389,Hendon Magistrates Court,hendon,"Hendon Magistrates Court, The Court House, The Hyde, NW9 7BY"
Manchester (Piccadilly),512401,Manchester Tribunal Hearing Centre - Piccadilly Exchange,manchester,"Manchester Tribunal Hearing Centre - Piccadilly Exchange, Piccadilly Plaza, M1 4AH"
Newcastle CFCTC,366796,Newcastle Civil And Family Courts And Tribunals Centre,newcastle,"Newcastle Civil And Family Courts And Tribunals Centre, Barras Bridge, Newcastle-Upon-Tyne, NE1 8QF"
Newcastle Law Courts,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
Newport (Columbus House),227101,Newport Tribunal Centre - Columbus House,newport,"Newport Tribunal Centre - Columbus House, Langstone Business Park, Newport, NP18 2LX"
North Shields (Kings Court),tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
North Tyneside Magistrates Court,443257,North Tyneside Magistrates Court,nthTyneMags,"North Tyneside Magistrates Court, Tynemouth Road, The Court House, NE30 1AG"
Nottingham Justice Centre,618632,Nottingham Magistrates Court,nottingham,"Nottingham Magistrates Court, Carrington Street, NG2 1EE"
Stockport Magistrates' Court,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
Taylor House,765324,Taylor House Tribunal Hearing Centre,taylorHouse,"Taylor House Tribunal Hearing Centre, Rosebery Avenue, EC1R 4QU"
Wigan and Leigh Magistrates' Court,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
Yarl's Wood,649000,Yarls Wood Immigration And Asylum Hearing Centre,yarlsWood,"Yarls Wood Immigration And Asylum Hearing Centre, Twinwood Road, MK44 1FD"
