CentreId,prevFileLocation,Conditions,hearingCentre,staffLocation,caseManagementLocation,locationCode,locationLabel,selectedHearingCentreRefData,listCaseHearingCentre,applicationChangeDesignatedHearingCentre
77,Arnhem House,,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
476,Arnhem House (Exceptions),,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
7,Belfast,,glasgow,Glasgow,{,366559,Atlantic Quay - Glasgow,Atlantic Quay - Glasgow,belfast,glasgow
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""366559""",,,,,
,,,,,"  },",,,,,
421,Belfast - Laganside,,glasgow,Glasgow,{,366559,Atlantic Quay - Glasgow,Atlantic Quay - Glasgow,belfast,glasgow
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""366559""",,,,,
,,,,,"  },",,,,,
520,Birmingham IAC (Priory Courts),,birmingham,birmingham,{,231596,Birmingham Civil And Family Justice Centre,Birmingham Civil And Family Justice Centre,birmingham,birmingham
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""231596""",,,,,
,,,,,"  },",,,,,
444,Birmingham Magistrates Court (VLC),,birmingham,birmingham,{,231596,Birmingham Civil And Family Justice Centre,Birmingham Civil And Family Justice Centre,birmingham,birmingham
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""231596""",,,,,
,,,,,"  },",,,,,
86,Bradford,,bradford,bradford,{,698118,Bradford Tribunal Hearing Centre,Bradford Tribunal Hearing Centre,bradford,bradford
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""698118""",,,,,
,,,,,"  },",,,,,
12,Cardinal Tower,NO MAPPING REQUIRED,NO MAPPING REQUIRED,NO MAPPING REQUIRED,NO MAPPING REQUIRED,NO MAPPING REQUIRED,NO MAPPING REQUIRED,NO MAPPING REQUIRED,NO MAPPING REQUIRED,NO MAPPING REQUIRED
101,Castle Park Storage,FOR caseNo:,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation
,,     %% sql,,,,,,,,
,,     SELECT TOP 1 Comment,,,,,,,,
,,     FROM h.bronze_history,,,,,,,,
,,     WHERE HistType = 6 AND HistoryId = (SELECT MAX(HistoryId),,,,,,,,
,,FROM h.bronze_history,,,,,,,,
,,WHERE (Comment NOT LIKE '%Castle Park Storage%' AND Comment NOT LIKE '%Field House%' AND Comment NOT LIKE '%UT (IAC)%' ),,,,,,,,
,,AND HistType = 6,,,,,,,,
,,                AND CaseNo = caseNo)   ,,,,,,,,
,,     ORDER BY HistoryId DESC,,,,,,,,
,,,,,,,,,,
,,     %% python,,,,,,,,
,,"     split_comment = Comment.split(',')",,,,,,,,
,,     prevFileLocation = split_comment[0] # The value of prevFileLocation should then be mapped based on column L,,,,,,,,
55,Field House,FOR caseNo:,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation
,,     %% sql,,,,,,,,
,,     SELECT TOP 1 Comment,,,,,,,,
,,     FROM h.bronze_history,,,,,,,,
,,     WHERE HistType = 6 AND HistoryId = (SELECT MAX(HistoryId),,,,,,,,
,,FROM h.bronze_history,,,,,,,,
,,WHERE (Comment NOT LIKE '%Castle Park Storage%' AND Comment NOT LIKE '%Field House%' AND Comment NOT LIKE '%UT (IAC)%' ),,,,,,,,
,,AND HistType = 6,,,,,,,,
,,                AND CaseNo = caseNo)   ,,,,,,,,
,,     ORDER BY HistoryId DESC,,,,,,,,
,,,,,,,,,,
,,     %% python,,,,,,,,
,,"     split_comment = Comment.split(',')",,,,,,,,
